,Retorno,Risco,Sharpe,PETZ3.SA Peso,VIVA3.SA Peso,VIIA3.SA Peso,AZUL4.SA Peso
91,-0.4544772036894375,0.644615655589621,-0.7050359384674477,0.4,0.016,0.017,0.567
92,-0.49445372593452286,0.6135126463493923,-0.805938930316579,0.431,0.01,0.411,0.148
93,-0.4051972766773541,0.518388440644096,-0.7816479784423778,0.398,0.303,0.185,0.114
94,-0.31607495910965006,0.5670080965954434,-0.5574434668702226,0.256,0.248,0.065,0.431
95,-0.2005922978171288,0.5202134357256443,-0.3855961496598472,0.115,0.403,0.238,0.245
96,-0.38926060588628886,0.5397598138861153,-0.7211737440839187,0.35,0.232,0.227,0.192
97,-0.3339447761598432,0.5605141345976783,-0.595782970574934,0.252,0.215,0.37,0.163
98,-0.32446743672572687,0.5324773894932548,-0.6093543934973732,0.271,0.323,0.35,0.055
99,-0.19602424373654226,0.46925763188027414,-0.4177326705398276,0.164,0.568,0.133,0.135
100,-0.1909589345400137,0.5594323364254862,-0.3413441127843144,0.075,0.318,0.251,0.356
101,-0.36413676431964037,0.483521909841836,-0.7530925836199491,0.39,0.469,0.109,0.032
102,-0.2764762553285513,0.6195325989544866,-0.4462658717154323,0.127,0.114,0.493,0.267
103,-0.23284987457520367,0.5061608384011727,-0.46003139103118773,0.196,0.461,0.025,0.317
104,-0.2424206834597062,0.5609351118208679,-0.432172417720077,0.18,0.353,0.004,0.463
105,-0.3859467352426768,0.525781293641906,-0.7340442497856032,0.376,0.295,0.051,0.278
106,-0.3834530774446447,0.5454072259771476,-0.7030583006260193,0.335,0.223,0.283,0.159
107,-0.3478990910946659,0.5368614821501034,-0.6480239366425533,0.327,0.313,0.003,0.358
108,-0.43718790534111085,0.5947916679775791,-0.7350269495664671,0.384,0.078,0.133,0.405
109,-0.4204470667811258,0.5460865874072349,-0.7699274739146531,0.388,0.207,0.251,0.155
110,-0.29368871810430475,0.5310211495453396,-0.5530640697753019,0.225,0.305,0.265,0.205
111,-0.2808153511954646,0.538061530429355,-0.5219019300104644,0.203,0.293,0.252,0.252
112,-0.27155077956215595,0.5561015996367054,-0.48831145197128883,0.199,0.292,0.105,0.404
113,-0.28936297219247015,0.5487758172908008,-0.5272881258161096,0.202,0.268,0.342,0.189
114,-0.411107704296501,0.587251909690401,-0.7000534140676304,0.337,0.085,0.277,0.3
115,-0.2871611946624412,0.5936436123309746,-0.48372658055712386,0.162,0.175,0.482,0.181
116,-0.5635804796249625,0.5848298501540774,-0.9636657217077469,0.564,0.075,0.27,0.091
117,-0.42292873873884723,0.5778648640370734,-0.7318817340514302,0.36,0.123,0.362,0.154
118,-0.20905052953944475,0.5280104575860725,-0.3959211915899731,0.118,0.373,0.256,0.253
119,-0.2751917842921232,0.6433397873121106,-0.42775495891818105,0.147,0.111,0.17,0.572
120,-0.4871382402210829,0.5180570353671278,-0.9403177777054338,0.533,0.321,0.095,0.051
121,-0.14672379305510308,0.5669586417234922,-0.258790998597497,0.011,0.339,0.297,0.354
122,-0.4309340779040265,0.5716978521607899,-0.7537794243502358,0.377,0.133,0.329,0.161
123,-0.4260082059979023,0.5600301934116615,-0.7606879254182575,0.409,0.196,0.028,0.367
124,-0.20942409889936042,0.5053041406179971,-0.41445157889114176,0.164,0.479,0.045,0.313
125,-0.3710714892091487,0.552368135301443,-0.6717829387581244,0.311,0.205,0.28,0.205
126,-0.1482753100631043,0.5633943114300296,-0.26318212139335606,0.034,0.375,0.16,0.43
